"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
4825,"MTPP","medium_airport","Toussaint Louverture International Airport",18.5799999237061,-72.2925033569336,122,NA,"HT","HT-OU","Port-au-Prince","yes","MTPP","PAP","","","http://en.wikipedia.org/wiki/Toussaint_Louverture_International_Airport",""
32146,"MTPX","medium_airport","Port-de-Paix Airport",19.9335994720459,-72.8486022949219,9,NA,"HT","HT-NO","Port-de-Paix","yes","MTPX","PAX","","","http://en.wikipedia.org/wiki/Port-de-Paix_Airport",""
4826,"MUBA","medium_airport","Gustavo Rizo Airport",20.3652992248535,-74.5062026977539,26,NA,"CU","CU-14","Baracoa","yes","MUBA","BCA","","","http://en.wikipedia.org/wiki/Gustavo_Rizo_Airport",""
4828,"MUBY","medium_airport","Carlos Manuel de Cespedes Airport",20.3964004516602,-76.6213989257812,203,NA,"CU","CU-12","Bayamo","yes","MUBY","BYM","","","http://en.wikipedia.org/wiki/Carlos_Manuel_C%C3%A9spedes_Airport",""
4829,"MUCA","medium_airport","Maximo Gomez Airport",22.027099609375,-78.7895965576172,335,NA,"CU","CU-08","Ciego de Avila","yes","MUCA","AVI","","","http://en.wikipedia.org/wiki/M%C3%A1ximo_G%C3%B3mez_Airport",""
4831,"MUCC","medium_airport","Jardines Del Rey Airport",22.4610004425,-78.3283996582,13,NA,"CU","CU-08","Cayo Coco","yes","MUCC","CCC","","","http://en.wikipedia.org/wiki/Jardines_del_Rey_Airport","Cayo Coco"
4832,"MUCF","medium_airport","Jaime Gonzalez Airport",22.1499996185303,-80.4141998291016,102,NA,"CU","CU-06","Cienfuegos","yes","MUCF","CFG","","","http://en.wikipedia.org/wiki/Jaime_Gonz%C3%A1lez_Airport","Las Villas Airport"
4833,"MUCL","medium_airport","Vilo Acuña International Airport",21.6165008545,-81.5459976196,10,NA,"CU","CU-99","Cayo Largo del Sur","yes","MUCL","CYO","","","http://en.wikipedia.org/wiki/Vilo_Acu%C3%B1a_Airport",""
4834,"MUCM","medium_airport","Ignacio Agramonte International Airport",21.4202995300293,-77.8475036621094,413,NA,"CU","CU-09","Camaguey","yes","MUCM","CMW","","","http://en.wikipedia.org/wiki/Ignacio_Agramonte_International_Airport",""
4835,"MUCU","medium_airport","Antonio Maceo International Airport",19.9698009490967,-75.8354034423828,249,NA,"CU","CU-13","Santiago","yes","MUCU","SCU","","","http://en.wikipedia.org/wiki/Antonio_Maceo_Airport",""
4837,"MUGM","medium_airport","Leeward Point Field",19.906499862671,-75.207099914551,56,NA,"CU","CU-14","Guantanamo Bay Naval Station","no","MUGM","NBW","","","https://en.wikipedia.org/wiki/Leeward_Point_Field","Gitmo, Leeward Point Fld"
4838,"MUGT","medium_airport","Mariana Grajales Airport",20.0853004455566,-75.1583023071289,56,NA,"CU","CU-14","Guantánamo","yes","MUGT","GAO","","","http://en.wikipedia.org/wiki/Mariana_Grajales_Airport","Aerodromo los Caños"
4839,"MUHA","large_airport","José Martí International Airport",22.989200592041,-82.4091033935547,210,NA,"CU","CU-03","Havana","yes","MUHA","HAV","","","http://en.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%AD_International_Airport","Habana"
4840,"MUHG","medium_airport","Frank Pais International Airport",20.7856006622314,-76.3151016235352,361,NA,"CU","CU-11","Holguin","yes","MUHG","HOG","","","http://en.wikipedia.org/wiki/Frank_Pa%C3%ADs_Airport",""
4841,"MUKW","medium_airport","Kawama Airport",23.1240005493,-81.3015975952,16,NA,"CU","CU-04","Matanzas","no","MUKW","VRO","","","http://en.wikipedia.org/wiki/Kawama_Airport",""
4843,"MULM","medium_airport","La Coloma Airport",22.3360996246338,-83.6418991088867,131,NA,"CU","CU-01","Pinar del Rio","no","MULM","LCL","","","",""
4846,"MUMO","medium_airport","Orestes Acosta Airport",20.6539001464844,-74.9222030639648,16,NA,"CU","CU-11","Moa","no","MUMO","MOA","","","http://en.wikipedia.org/wiki/Orestes_Acosta_Airport",""
4847,"MUMZ","medium_airport","Sierra Maestra Airport",20.2880992889404,-77.0892028808594,112,NA,"CU","CU-12","Manzanillo","yes","MUMZ","MZO","","","http://en.wikipedia.org/wiki/Sierra_Maestra_Airport",""
4848,"MUNB","medium_airport","San Nicolas De Bari Airport",22.7560997009277,-81.9208984375,49,NA,"CU","CU-02","San Nicolás","no","MUNB","QSN","","","",""
4849,"MUNG","medium_airport","Rafael Cabrera Airport",21.8346996307373,-82.7837982177734,79,NA,"CU","CU-99","Nueva Gerona","yes","MUNG","GER","","","http://en.wikipedia.org/wiki/Rafael_P%C3%A9rez_Airport",""
4851,"MUPB","medium_airport","Playa Baracoa Airport",23.0328006744,-82.5793991089,102,NA,"CU","CU-02","Havana","yes","MUPB","UPB","","","http://en.wikipedia.org/wiki/Playa_Baracoa_Airport",""
4852,"MUPR","medium_airport","Pinar Del Rio Airport",22.4214000701904,-83.6783981323242,131,NA,"CU","CU-01","Pinar del Rio","no","MUPR","QPD","","","",""
4854,"MUSC","medium_airport","Abel Santamaria Airport",22.4922008514404,-79.943603515625,338,NA,"CU","CU-05","Santa Clara","no","MUSC","SNU","","","http://en.wikipedia.org/wiki/Abel_Santa_Mar%C3%ADa_Airport",""
32336,"MUSJ","medium_airport","San Julian Air Base",22.0953006744385,-84.1520004272461,98,NA,"CU","CU-01","Pinar Del Rio","no","MUSJ","SNJ","","","",""
4856,"MUSN","medium_airport","Siguanea Airport",21.6424999237061,-82.9551010131836,39,NA,"CU","CU-99","Isla de la Juventud","no","MUSN","SZJ","","","",""
4858,"MUTD","medium_airport","Alberto Delgado Airport",21.7882995605469,-79.997200012207,125,NA,"CU","CU-07","Trinidad","yes","MUTD","TND","","","",""
4859,"MUVR","large_airport","Juan Gualberto Gomez International Airport",23.0344009399414,-81.435302734375,210,NA,"CU","CU-04","Varadero","yes","MUVR","VRA","","","http://en.wikipedia.org/wiki/Juan_Gualberto_G%C3%B3mez_Airport",""
4860,"MUVT","medium_airport","Hermanos Ameijeiras Airport",20.9876003265381,-76.9357986450195,328,NA,"CU","CU-10","Las Tunas","yes","MUVT","VTU","","","http://en.wikipedia.org/wiki/Hermanos_Ameijeiras_Airport",""
4861,"MWCB","medium_airport","Gerrard Smith International Airport",19.6870002746582,-79.8827972412109,8,NA,"KY","KY-U-A","Cayman Brac","yes","MWCB","CYB","","","http://en.wikipedia.org/wiki/Gerrard_Smith_International_Airport",""
31977,"MWCL","medium_airport","Edward Bodden Airfield",19.660161,-80.088826,3,NA,"KY","KY-U-A","Little Cayman","no","MWCL","LYB","","","http://en.wikipedia.org/wiki/Edward_Bodden_Airfield","Little Cayman Airport"
4862,"MWCR","large_airport","Owen Roberts International Airport",19.2928009033,-81.3576965332,8,NA,"KY","KY-U-A","Georgetown","yes","MWCR","GCM","","","http://en.wikipedia.org/wiki/Owen_Roberts_International_Airport","Grand Cayman, George Town"
4924,"MYAB","medium_airport","Clarence A. Bain Airport",24.2877006530762,-77.6846008300781,19,NA,"BS","BS-KB","Mangrove Cay","no","MYAB","MAY","","","",""
4925,"MYAF","medium_airport","Andros Town Airport",24.6979007720947,-77.7956008911133,5,NA,"BS","BS-NB","","no","MYAF","ASD","","","http://en.wikipedia.org/wiki/Andros_Town_International_Airport",""
4926,"MYAK","medium_airport","Congo Town Airport",24.158701,-77.589798,15,NA,"BS","BS-KB","Andros","yes","MYAK","COX","","","https://en.wikipedia.org/wiki/South_Andros_Airport","Congotown Airport, South Andros Airport"
4927,"MYAM","medium_airport","Leonard M Thompson International Airport",26.5114,-77.083503,6,NA,"BS","BS-MH","Marsh Harbour","yes","MYAM","MHH","","","http://en.wikipedia.org/wiki/Marsh_Harbour_Airport","Marsh Harbour International"
4928,"MYAN","medium_airport","San Andros Airport",25.0538005828857,-78.0490036010742,5,NA,"BS","BS-NB","Andros Island","yes","MYAN","SAQ","","","http://en.wikipedia.org/wiki/San_Andros_Airport",""
4929,"MYAP","medium_airport","Spring Point Airport",22.4417991638,-73.9709014893,11,NA,"BS","BS-AC","Spring Point","yes","MYAP","AXP","","","",""
4931,"MYAT","medium_airport","Treasure Cay Airport",26.745300293,-77.3912963867,8,NA,"BS","BS-MH","Treasure Cay","yes","MYAT","TCB","","","http://en.wikipedia.org/wiki/Treasure_Cay_Airport",""
4933,"MYBC","medium_airport","Chub Cay Airport",25.4171009063721,-77.8808975219727,5,NA,"BS","BS-NB","","yes","MYBC","CCZ","","","http://en.wikipedia.org/wiki/Chub_Cay_International_Airport",""
4934,"MYBG","medium_airport","Great Harbour Cay Airport",25.7383,-77.840103,18,NA,"BS","BS-NB","Bullocks Harbour","no","MYBG","GHC","","","http://en.wikipedia.org/wiki/Great_Harbour_Cay_Airport",""
4935,"MYBS","medium_airport","South Bimini Airport",25.6998996735,-79.2647018433,10,NA,"BS","BS-BI","South Bimini","yes","MYBS","BIM","","","http://en.wikipedia.org/wiki/South_Bimini_Airport",""
4936,"MYCA","medium_airport","Arthur's Town Airport",24.6294,-75.673797,18,NA,"BS","BS-CI","Arthur's Town","yes","MYCA","ATC","","","http://en.wikipedia.org/wiki/Arthur's_Town_Airport",""
4937,"MYCB","medium_airport","New Bight Airport",24.3153,-75.452301,5,NA,"BS","BS-CI","Cat Island","yes","MYCB","TBI","","","http://en.wikipedia.org/wiki/New_Bight_Airport",""
4938,"MYCI","medium_airport","Colonel Hill Airport",22.7455997467,-74.1824035645,5,NA,"BS","BS-AC","Colonel Hill","yes","MYCI","CRI","","","http://en.wikipedia.org/wiki/Colonial_Hill_Airport","Crooked Island Airport"
4939,"MYEF","medium_airport","Exuma International Airport",23.5625991821,-75.8779983521,9,NA,"BS","BS-EX","George Town","yes","MYEF","GGT","","","http://en.wikipedia.org/wiki/Exuma_International_Airport",""
4941,"MYEH","medium_airport","North Eleuthera Airport",25.474899292,-76.6835021973,13,NA,"BS","BS-HI","North Eleuthera","yes","MYEH","ELH","","","http://en.wikipedia.org/wiki/North_Eleuthera_Airport",""
4942,"MYEM","medium_airport","Governor's Harbour Airport",25.2847003937,-76.3310012817,26,NA,"BS","BS-GH","Governor's Harbour","yes","MYEM","GHB","","","http://en.wikipedia.org/wiki/Governor's_Harbour_Airport",""
4943,"MYEN","medium_airport","Normans Cay Airport",24.5942993164062,-76.820198059082,8,NA,"BS","BS-EX","","no","MYEN","NMC","","","",""
4944,"MYER","medium_airport","Rock Sound Airport",24.8950787333,-76.1768817902,10,NA,"BS","BS-RS","Rock Sound","no","MYER","RSD","","","http://en.wikipedia.org/wiki/Rock_Sound_International_Airport",""
4945,"MYES","medium_airport","Staniel Cay Airport",24.1690998077393,-76.4391021728516,5,NA,"BS","BS-EX","","no","MYES","TYM","","","",""
4946,"MYGF","medium_airport","Grand Bahama International Airport",26.5587005615,-78.695602417,7,NA,"BS","BS-FP","Freeport","yes","MYGF","FPO","","","http://en.wikipedia.org/wiki/Grand_Bahama_International_Airport",""
4947,"MYIG","medium_airport","Inagua Airport",20.9750003814697,-73.6669006347656,8,NA,"BS","BS-IN","Matthew Town","yes","MYIG","IGA","","","http://en.wikipedia.org/wiki/Inagua_Airport",""
4948,"MYLD","medium_airport","Deadman's Cay Airport",23.1790008545,-75.0935974121,9,NA,"BS","BS-LI","Deadman's Cay","yes","MYLD","LGI","","","http://en.wikipedia.org/wiki/Deadman's_Cay_Airport",""
4949,"MYLS","medium_airport","Stella Maris Airport",23.582317,-75.268621,10,NA,"BS","BS-LI","Stella Maris","yes","MYLS","SML","","","https://en.wikipedia.org/wiki/Stella_Maris_Airport",""
4950,"MYMM","medium_airport","Mayaguana Airport",22.379499,-73.013494,11,NA,"BS","BS-MG","Abrahams Bay","yes","MYMM","MYG","","","http://en.wikipedia.org/wiki/Mayaguana_Airport",""
4951,"MYNN","large_airport","Lynden Pindling International Airport",25.0389995575,-77.4662017822,16,NA,"BS","BS-NP","Nassau","yes","MYNN","NAS","","http://www.nas.bs/","http://en.wikipedia.org/wiki/Lynden_Pindling_International_Airport","Nassau International Airport"
4952,"MYRD","medium_airport","Duncan Town Airport",22.1818008422852,-75.7294998168945,6,NA,"BS","BS-RI","","no","MYRD","DCT","","","",""
4954,"MYSM","medium_airport","San Salvador Airport",24.0632991790771,-74.5240020751953,24,NA,"BS","BS-SR","San Salvador","yes","MYSM","ZSA","","","http://en.wikipedia.org/wiki/San_Salvador_Airport",""
4956,"MZBZ","large_airport","Philip S. W. Goldson International Airport",17.5391006469727,-88.3081970214844,15,NA,"BZ","BZ-BZ","Belize City","yes","MZBZ","BZE","","http://www.pgiabelize.com/","http://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport","Belize International, Ladyville"
300544,"NBS","medium_airport","Changbaishan Airport",42.066944,127.602222,2874,"AS","CN","CN-22","Baishan","yes","ZYBS","NBS","","","http://en.wikipedia.org/wiki/Changbaishan_Airport",""
4958,"NCRG","large_airport","Rarotonga International Airport",-21.2026996613,-159.805999756,19,"OC","CK","CK-U-A","Avarua","yes","NCRG","RAR","","","http://en.wikipedia.org/wiki/Rarotonga_International_Airport",""
4959,"NFFN","medium_airport","Nadi International Airport",-17.7553997039795,177.442993164062,59,"OC","FJ","FJ-W","Nadi","yes","NFFN","NAN","","","http://en.wikipedia.org/wiki/Nadi_International_Airport",""
4960,"NFNA","medium_airport","Nausori International Airport",-18.0433006286621,178.559005737305,17,"OC","FJ","FJ-C","Nausori","yes","NFNA","SUV","","","http://en.wikipedia.org/wiki/Nausori_International_Airport",""
4961,"NFNL","medium_airport","Labasa Airport",-16.4666996002197,179.339996337891,44,"OC","FJ","FJ-N","","yes","NFNL","LBS","","","http://en.wikipedia.org/wiki/Lambasa_Airport",""
4962,"NFTF","medium_airport","Fua'amotu International Airport",-21.2411994934082,-175.149993896484,126,"OC","TO","TO-04","Nuku'alofa","yes","NFTF","TBU","","","http://en.wikipedia.org/wiki/Fua'amotu_International_Airport",""
4963,"NFTL","medium_airport","Lifuka Island Airport",-19.7770004272461,-174.341003417969,31,"OC","TO","TO-02","Lifuka","yes","NFTL","HPA","","","http://en.wikipedia.org/wiki/Lifuka_Island_Airport","Salote Pilolevu Airport, Haapai"
4964,"NFTV","medium_airport","Vava'u International Airport",-18.5853004455566,-173.962005615234,236,"OC","TO","TO-05","Vava'u Island","yes","NFTV","VAV","","","http://en.wikipedia.org/wiki/Vava'u_International_Airport","Vavau, Lupepau'u"
44578,"NG-0003","medium_airport","Gombe Lawanti International Airport",10.2983333333,10.8963888889,1590,"AF","NG","NG-GO","Gombe","yes","DNGO","GMO","","","http://en.wikipedia.org/wiki/Gombe_Lawanti_International_Airport",""
32192,"NG-QRW","medium_airport","Warri Airport",5.59611,5.81778,242,"AF","NG","NG-DE","Warri","yes","DNSU","QRW","","http://www.faannigeria.org/nigeria-airport.php?airport=25","http://en.wikipedia.org/wiki/Warri_Airport","Osubi Airstrip, Shell"
44571,"NGFU","medium_airport","Funafuti International Airport",-8.525,179.195999,9,"OC","TV","TV-FUN","Funafuti","yes","NGFU","FUN","","","http://en.wikipedia.org/wiki/Funafuti_International_Airport",""
4972,"NGTA","medium_airport","Bonriki International Airport",1.38163995742798,173.147003173828,9,"OC","KI","KI-G","Tarawa","yes","NGTA","TRW","","","http://en.wikipedia.org/wiki/Bonriki_International_Airport",""
4973,"NGTE","medium_airport","Tabiteuea North Airport",-1.22447001934052,174.776000976562,7,"OC","KI","KI-G","","no","NGTE","TBF","","","",""
