"iata_code","arriv_lat","arriv_lon"
"WKK",59.2826004028,-158.617996216
"HIR",-9.4280004501343,160.05499267578
"MUA",-8.32796955108643,157.263000488281
"AHJ",32.53154,102.35224
"INU",-0.547458,166.919006
"AXF",38.74831,105.58858
"BUA",-5.4223198890686,154.673004150391
"CMU",-6.02429008483887,144.970993041992
"DAU",-9.08675956726,143.207992554
"GKA",-6.08168983459,145.391998291
"GUR",-10.3114995956,150.333999634
"PNP",-8.80453968048,148.309005737
"HKN",-5.46217012405396,150.404998779297
"KMA",-7.96361017227,145.770996094
"KVG",-2.57940006256,150.807998657
"MAG",-5.20707988739,145.789001465
"HGU",-5.82678985595703,144.296005249023
"MDU",-6.14774,143.656998
"MAS",-2.06189,147.423996
"LAE",-6.569803,146.725977
"POM",-9.44338035583496,147.220001220703
"RAB",-4.34045982361,152.380004883
"VAI",-2.6926,141.3028
"WBM",-5.64330005645752,143.895004272461
"WWK",-3.58383011818,143.669006348
"ZXT",40.4955422161,49.9768066406
"BCW",-21.8533000946045,35.4383010864258
"JAM",42.4548988342,26.3521995544
"JEG",68.7218017578,-52.7846984863
"UAK",61.1604995728,-45.4259986877
"GOH",64.19090271,-51.6781005859
"SFJ",67.0122218992,-50.7116031647
"THU",76.5311965942,-68.7032012939
"AEY",65.6600036621094,-18.0727005004883
"EGS",65.2833023071289,-14.4013996124268
"HFN",64.295601,-15.2272
"HZK",65.952301,-17.426001
"IFJ",66.0580978393555,-23.1352996826172
"KEF",63.985000610352,-22.605600357056
"RKV",64.1299972534,-21.9405994415
"SIJ",66.133301,-18.9167
"VEY",63.4243011474609,-20.2789001464844
"PRN",42.5728,21.035801
"BGK",16.5193691253662,-88.4079132080078
"CUK",17.7346992492676,-88.0325012207031
"CYC",17.7007999420166,-88.0410995483398
"CZH",18.3822002410889,-88.4119033813477
"DGA",16.9825096130371,-88.2309875488281
"PLJ",16.5369567871094,-88.3615112304688
"PND",16.102399826,-88.8082962036
"SJX",18.3561000823975,-88.1307983398438
"SPR",17.9139,-87.9711
"TZA",17.5163898468018,-88.1944427490234
"BZB",-21.5411,35.4729
"INC",38.322758,106.393214
"YUA",25.737499237061,101.88200378418
"ZQZ",40.7386016846,114.930000305
"BSD",25.053301,99.168297
"LNJ",23.7381000519,100.025001526
"RKZ",29.3519,89.311401
"PZI",26.54,101.79852
"FUO",23.0832996368,113.069999695
